migration,table
001_core.sql,schema_migrations
001_core.sql,relational_sync_state
002_audit_events.sql,audit_events
003_users.sql,users
003_users.sql,user_permissions
003_users.sql,user_enabled_rooms
003_users.sql,user_authorized_rooms
003_users.sql,user_payment_methods
004_sessions.sql,sessions
005_sale_sessions.sql,sale_sessions
005_sale_sessions.sql,solar_closures
006_payments.sql,payment_containers
006_payments.sql,payment_parts
006_payments.sql,payment_transactions
006_payments.sql,fiscal_receipts
007_menu_settings.sql,menu_categories
007_menu_settings.sql,menu_items
007_menu_settings.sql,menu_item_variants
007_menu_settings.sql,payment_methods
007_menu_settings.sql,pos_rooms
007_menu_settings.sql,pos_tables
008_orders.sql,orders
008_orders.sql,order_lines
008_orders.sql,order_line_variants
008_orders.sql,order_events
009_tables_bills.sql,table_states
009_tables_bills.sql,table_bills
009_tables_bills.sql,table_locks
010_realtime_backbone.sql,idempotency_keys
010_realtime_backbone.sql,event_outbox
012_reservations.sql,reservations
012_reservations.sql,reservation_table_assignments
012_reservations.sql,reservation_locks
012_reservations.sql,room_change_requests
012_reservations.sql,table_room_move_requests
018_command_inbox.sql,command_inbox
019_print_spool.sql,print_spool
021_fiscal_outbox.sql,fiscal_outbox
024_order_id_allocator.sql,order_id_allocator
025_payment_mirror_outbox.sql,payment_mirror_outbox
027_reservation_state_versions.sql,reservation_state_versions
028_commercial_configuration_v2.sql,commercial_config_versions
028_commercial_configuration_v2.sql,commercial_config_state
028_commercial_configuration_v2.sql,commercial_products
028_commercial_configuration_v2.sql,commercial_catalogs
028_commercial_configuration_v2.sql,commercial_catalog_categories
028_commercial_configuration_v2.sql,commercial_catalog_groups
028_commercial_configuration_v2.sql,commercial_catalog_entries
028_commercial_configuration_v2.sql,commercial_price_lists
028_commercial_configuration_v2.sql,commercial_price_list_entries
028_commercial_configuration_v2.sql,commercial_offers
028_commercial_configuration_v2.sql,commercial_offer_included_items
028_commercial_configuration_v2.sql,commercial_offer_choice_groups
028_commercial_configuration_v2.sql,commercial_offer_choice_options
028_commercial_configuration_v2.sql,commercial_assignments
028_commercial_configuration_v2.sql,commercial_config_audit_events
028_commercial_configuration_v2.sql,commercial_config_commands
