"route","handler_key","domain","cross_domain","legacy_stores","app_state_reads","app_state_writes","mutation","auth_required","permission","resolution","source_file","note"
"GET /api/health","health","app_meta","","","meta","","false","false","","resolved","backend/modules/status/status.handlers.js","Legge db.meta come fallback quando lo snapshot di salute non porta settingsVersion. Dichiarato a mano: l analizzatore non attribuisce la collezione a un await inline. La voce era invisibile all inventario finche la chiave nel dispatch non e stata quotata."
"GET /api/settings/order-workflow","settings.orderWorkflow","configuration","","","","","false","false","","resolved","backend/modules/status/status.handlers.js",""
"GET /api/settings/payment-methods","settings.paymentMethods","configuration","","","","","false","false","","resolved","backend/modules/status/status.handlers.js",""
"GET /api/settings/payment-terminals","settings.paymentTerminals","configuration","","","","","false","false","","resolved","backend/modules/status/status.handlers.js",""
"GET /api/monitor/overview","monitor.overview","app_meta","payments","posSettings|integration","auditEvents|integration|payments|posSettings|sessions|users","","false","false","","resolved","backend/modules/status/status.handlers.js",""
"GET /api/monitor/runtime-metrics","monitor.runtimeMetrics","app_meta","","","","","false","true","","resolved","backend/modules/status/status.handlers.js",""
"GET /api/internal/monitor/runtime-metrics","monitor.runtimeMetricsInternal","app_meta","","","","","false","true","","resolved","backend/modules/status/status.handlers.js",""
"POST /api/monitor/runtime-metrics/reset","monitor.runtimeMetricsReset","app_meta","","","","","true","true","","resolved","backend/modules/status/status.handlers.js",""
"POST /api/monitor/control","monitor.control","app_meta","catalog|operations|payments|sales","posSettings|integration","auditEvents|integration|menuItems|meta|payments|posSettings|printSpoolJobs|saleSessions|sessions|solarClosures|users","auditEvents|integration|meta|payments|posSettings|printSpoolJobs|saleSessions","true","true","","resolved","backend/modules/status/status.handlers.js",""
"POST /api/auth/login","auth.login","identity","","posSettings","auditEvents|meta|posSettings|sessions|users","auditEvents|meta|sessions|users","true","false","","resolved","backend/auth/auth.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
"POST /api/auth/logout","auth.logout","identity","","integration","auditEvents|integration|sessions|users","auditEvents|integration|meta|sessions","true","true","","resolved","backend/auth/auth.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
"POST /api/auth/session/status","auth.sessionStatus","identity","","posSettings|integration","integration|posSettings|sessions|users","integration|meta|sessions","true","true","","resolved","backend/auth/auth.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
"POST /api/auth/workstation/select","auth.selectWorkstation","identity","","posSettings","auditEvents|posSettings|sessions|users","auditEvents|meta|sessions","true","true","","resolved","backend/auth/auth.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
